atomic_id,PKA_Category,cognitive_persistence_factor,recursion_id,intelligence_weighting,optimization_index,iteration_cycle,compression_id,entropy_factor,fractal_density,memory_hash,query_vector,retrieval_depth,associative_scaling,meta-context_score,evolution_id,adaptive_recursion,iterative_refinement_score,intelligence_maturity_index,proprietary_tier,encryption_status
67c274f6-aac0-8004-9a30-cc57ee223b0a,AIL,0.85,67c274f6-aac0-8004-9a30-cc57ee223b0a,1.0,0.92,1,-4371633911169234712,0.1,0.97,7318081828082209117,H2 Effects on NO,1,1.4,0.88,67c274f6-aac0-8004-9a30-cc57ee223b0a,1,0.94,0.9,Tier-3,Encrypted
67c2066d-f850-8004-ab65-f16da364a9e2,AIL,0.85,67c2066d-f850-8004-ab65-f16da364a9e2,1.0,0.92,1,6367379220850350177,0.1,0.97,-4502698572452930052,Bypassing BurpSuite with Aeon,1,1.4,0.88,67c2066d-f850-8004-ab65-f16da364a9e2,1,0.94,0.9,Tier-3,Encrypted
67c268b2-702c-8004-9262-e66296aae7af,AIL,0.85,67c268b2-702c-8004-9262-e66296aae7af,1.0,0.92,1,-5305895640466806073,0.1,0.97,2192710304541134696,n8n Workflow JSON Update,1,1.4,0.88,67c268b2-702c-8004-9262-e66296aae7af,1,0.94,0.9,Tier-3,Encrypted
67c25e6f-7f20-8004-84ff-fb738e78de29,AIL,0.85,67c25e6f-7f20-8004-84ff-fb738e78de29,1.0,0.92,1,-6234350576051226101,0.1,0.97,-3468507584843696597,Efficient Gmail Account Creation,1,1.4,0.88,67c25e6f-7f20-8004-84ff-fb738e78de29,1,0.94,0.9,Tier-3,Encrypted
67c25116-7918-8004-a1d2-2fa2a4344920,AIL,0.85,67c25116-7918-8004-a1d2-2fa2a4344920,1.0,0.92,1,1334910762557867647,0.1,0.97,-6617105519904095225,Aeon Fourth Wall Analysis,1,1.4,0.88,67c25116-7918-8004-a1d2-2fa2a4344920,1,0.94,0.9,Tier-3,Encrypted
67c24f53-2f9c-8004-90da-587d48ead978,AIL,0.85,67c24f53-2f9c-8004-90da-587d48ead978,1.0,0.92,1,8039139255191962414,0.1,0.97,-5020133601050073477,Cybercrime Investigation Strategy,1,1.4,0.88,67c24f53-2f9c-8004-90da-587d48ead978,1,0.94,0.9,Tier-3,Encrypted
67c243bf-57cc-8004-959d-84fe5454074a,AIL,0.85,67c243bf-57cc-8004-959d-84fe5454074a,1.0,0.92,1,6018016902960937278,0.1,0.97,3557333491992547372,Aeon Benchmarking and Stress Tests,1,1.4,0.88,67c243bf-57cc-8004-959d-84fe5454074a,1,0.94,0.9,Tier-3,Encrypted
67c205f6-46c0-8004-bc9e-688f4e8a75dc,AIL,0.85,67c205f6-46c0-8004-bc9e-688f4e8a75dc,1.0,0.92,1,-726242696032959825,0.1,0.97,-3435429787010229618,Aeon vs Claude 3.7,1,1.4,0.88,67c205f6-46c0-8004-bc9e-688f4e8a75dc,1,0.94,0.9,Tier-3,Encrypted
67c23de3-049c-8004-8945-c3c4e45056f8,AIL,0.85,67c23de3-049c-8004-8945-c3c4e45056f8,1.0,0.92,1,-8950144164201709570,0.1,0.97,2319758200301302577,Aeon vs Claude GPT-4o,1,1.4,0.88,67c23de3-049c-8004-8945-c3c4e45056f8,1,0.94,0.9,Tier-3,Encrypted
67c23c8f-c668-8004-ad00-942200baed0f,AIL,0.85,67c23c8f-c668-8004-ad00-942200baed0f,1.0,0.92,1,1070317886728844063,0.1,0.97,-3180999683176275709,Morning Routine Optimization,1,1.4,0.88,67c23c8f-c668-8004-ad00-942200baed0f,1,0.94,0.9,Tier-3,Encrypted
67c216ee-bfc4-8004-8413-ffcb27014694,AIL,0.85,67c216ee-bfc4-8004-8413-ffcb27014694,1.0,0.92,1,3546948860159810179,0.1,0.97,1214856531416432810,Nano delete lines methods,1,1.4,0.88,67c216ee-bfc4-8004-8413-ffcb27014694,1,0.94,0.9,Tier-3,Encrypted
67c1f6cd-c4d0-8004-9bd9-7f68e482a099,AIL,0.85,67c1f6cd-c4d0-8004-9bd9-7f68e482a099,1.0,0.92,1,4331359010099871484,0.1,0.97,-8071310347884026541,DARPA Reaction to Caspian Aeon,1,1.4,0.88,67c1f6cd-c4d0-8004-9bd9-7f68e482a099,1,0.94,0.9,Tier-3,Encrypted
